"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Documentation Rules","Error Prone Rules","Inheritance Metric Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules","Size Metric Rules"
"L3186","TypeAdapters$7","com.google.gson.internal.bind.TypeAdapters$7","L3067","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java","218","79","235","4","0.75","1","3","1","0.666667","0.666667","12","12","2","1","1","4","5","0","0","1","3","0","0","0","0","0","3","0","0","1","1","0","0","1","18","18","0","0","0","0","2","0","2","0","9","7","0","9","0","18","18","0","0","0","0","2","0","2","0","9","7","0","9","0","0","0","19","0","0","0","11","0","1","0","0","0","7","0","0","0","0","0","0","0","0"
"L3205","TypeAdapters$8","com.google.gson.internal.bind.TypeAdapters$8","L3067","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java","239","100","250","4","0","0","0","0","0","0","0","0","2","1","1","3","4","0","0","1","3","0","0","0","0","0","3","0","0","1","1","0","0","1","12","12","0","0","0","0","2","0","2","0","9","4","0","9","0","12","12","0","0","0","0","2","0","2","0","9","4","0","9","0","0","0","8","0","0","0","0","0","1","0","0","0","7","0","0","0","0","0","0","0","0"
"L3225","TypeAdapters$9","com.google.gson.internal.bind.TypeAdapters$9","L3067","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java","254","100","261","4","0","0","0","0","0","0","0","0","2","0","0","2","3","0","0","0","2","0","0","0","0","0","3","0","0","1","1","0","0","1","8","8","0","0","0","0","2","0","2","0","9","2","0","9","0","8","8","0","0","0","0","2","0","2","0","9","2","0","9","0","0","0","8","0","0","0","0","0","1","0","0","0","7","0","0","0","0","0","0","0","0"
"L3247","TypeAdapters$10","com.google.gson.internal.bind.TypeAdapters$10","L3067","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java","265","116","292","4","0","0","0","0","0","0","0","0","2","2","2","6","4","0","0","1","3","0","0","0","0","0","3","0","0","1","1","0","0","1","28","28","0","0","0","0","2","0","2","0","9","22","0","9","0","28","28","0","0","0","0","2","0","2","0","9","22","0","9","0","0","0","8","0","2","1","0","1","1","0","0","0","7","0","0","0","0","0","0","0","0"
"L3271","TypeAdapters$11","com.google.gson.internal.bind.TypeAdapters$11","L3067","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java","296","76","313","4","0.75","1","3","1","0.666667","0.666667","12","12","2","1","1","4","5","0","0","1","3","0","0","0","0","0","3","0","0","1","1","0","0","1","18","18","0","0","0","0","2","0","2","0","9","7","0","9","0","18","18","0","0","0","0","2","0","2","0","9","7","0","9","0","0","0","19","0","0","0","11","0","1","0","0","0","7","0","0","0","0","0","0","0","0"
"L3281","TypeAdapters$12","com.google.gson.internal.bind.TypeAdapters$12","L3067","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java","315","77","328","4","0","0","0","0","0","0","0","0","2","1","1","3","4","0","0","0","2","0","0","0","0","0","3","0","0","1","1","0","0","1","14","14","0","0","0","0","2","0","2","0","9","5","0","9","0","14","14","0","0","0","0","2","0","2","0","9","5","0","9","0","0","0","8","0","0","0","0","0","1","0","0","0","7","0","0","0","0","0","0","0","0"
"L3292","TypeAdapters$13","com.google.gson.internal.bind.TypeAdapters$13","L3067","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java","330","78","343","4","0","0","0","0","0","0","0","0","2","1","1","3","4","0","0","0","2","0","0","0","0","0","3","0","0","1","1","0","0","1","14","14","0","0","0","0","2","0","2","0","9","5","0","9","0","14","14","0","0","0","0","2","0","2","0","9","5","0","9","0","0","0","8","0","0","0","0","0","1","0","0","0","7","0","0","0","0","0","0","0","0"
"L3300","TypeAdapters$14","com.google.gson.internal.bind.TypeAdapters$14","L3067","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java","345","78","364","4","0","0","0","0","0","0","0","0","2","1","1","5","6","0","0","2","4","0","0","0","0","0","3","0","0","1","1","0","0","1","20","20","0","0","0","0","2","0","2","0","9","7","0","9","0","20","20","0","0","0","0","2","0","2","0","9","7","0","9","0","0","0","8","0","0","0","0","0","1","0","0","0","7","0","0","0","0","0","0","0","0"
"L3321","TypeAdapters$15","com.google.gson.internal.bind.TypeAdapters$15","L3067","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java","368","87","385","4","0","0","0","0","0","0","0","0","2","1","1","5","5","0","0","1","3","0","0","0","0","0","3","0","0","1","1","0","0","1","18","18","0","0","0","0","2","0","2","0","9","8","0","9","0","18","18","0","0","0","0","2","0","2","0","9","8","0","9","0","0","0","8","0","0","0","0","0","1","0","0","0","7","0","0","0","0","0","0","0","0"
"L3334","TypeAdapters$16","com.google.gson.internal.bind.TypeAdapters$16","L3067","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java","390","78","408","4","0","0","0","0","0","0","0","0","2","1","1","4","4","0","0","0","2","0","0.0526316","1","0","0","3","0.0526316","1","1","1","0","0","1","18","19","0","0","0","0","2","0","2","0","9","8","0","9","0","18","19","0","0","0","0","2","0","2","0","9","8","0","9","0","0","0","8","0","0","0","0","0","1","0","0","0","7","0","0","0","0","0","0","0","0"
"L3348","TypeAdapters$17","com.google.gson.internal.bind.TypeAdapters$17","L3067","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java","410","91","426","4","0.759259","1","3","1","0.647059","0.6875","11","11","2","1","1","4","5","0","0","1","3","0","0","0","0","0","3","0","0","1","1","0","0","1","16","17","0","0","0","0","2","0","2","0","9","7","0","9","0","16","17","0","0","0","0","2","0","2","0","9","7","0","9","0","0","0","19","0","0","0","11","0","1","0","0","0","7","0","0","0","0","0","0","0","0"
