"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","HCPL","HDIF","HEFF","HNDB","HPL","HPV","HTRP","HVOL","MI","MIMS","MISEI","MISM","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Best Practice Rules","Clone Metric Rules","Code Style Rules","Complexity Metric Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules","Size Metric Rules"
"L4779","LinkedTreeMap(Comparator<? super K> comparator)","com.google.gson.internal.LinkedTreeMap.<init>(Ljava/util/Comparator;)V","L2686","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java","70","3","75","4","0","0","0","0","0","0","0","0","83.6515","10.2857","1256.26","116.427","27","23","69.7921","122.136","116.527","68.1443","138.674","81.0959","2","0","0","1","0","0.571429","8","7","0.571429","8","6","6","1","1","6","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4785","int size()","com.google.gson.internal.LinkedTreeMap.size()I","L2686","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java","77","3","79","4","0","0","0","0","0","0","0","0","13.6096","2.5","49.1287","13.414","7","7","2.72937","19.6515","137.486","80.4012","122.751","71.7845","1","0","0","3","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"L4787","V get(Object key)","com.google.gson.internal.LinkedTreeMap.get(Ljava/lang/Object;)Ljava/lang/Object;","L2686","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java","81","3","84","4","0","0","0","0","0","0","0","0","74.1131","11.25","1284.75","118.181","26","21","71.3752","114.2","123.445","72.1899","102.596","59.9975","2","0","0","7","1","0","0","0","0","0","4","4","2","1","4","4","2","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"L4793","boolean containsKey(Object key)","com.google.gson.internal.LinkedTreeMap.containsKey(Ljava/lang/Object;)Z","L2686","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java","86","3","88","4","0","0","0","0","0","0","0","0","33.2842","6","279.627","42.7615","13","12","15.5348","46.6045","132.996","77.7752","116.273","67.996","1","0","0","6","1","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"L4795","V put(K key, V value)","com.google.gson.internal.LinkedTreeMap.put(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;","L2686","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java","90","3","98","4","0","0","0","0","0","0","0","0","109.24","16.8889","3815.97","244.195","47","28","211.998","225.946","106.759","62.4324","78.5241","45.9205","2","1","1","12","1","0","0","0","0","0","9","9","6","2","9","9","6","0","1","2","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0"
"L4800","void clear()","com.google.gson.internal.LinkedTreeMap.clear()V","L2686","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java","100","3","108","4","0","0","0","0","0","0","0","0","76.2388","7.8","1217.42","114.015","35","22","67.6347","156.08","112.984","66.0727","113.44","66.3393","1","0","0","3","0","0.125","1","0","0.125","1","7","9","5","0","7","9","5","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"L4808","V remove(Object key)","com.google.gson.internal.LinkedTreeMap.remove(Ljava/lang/Object;)Ljava/lang/Object;","L2686","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java","110","3","113","4","0","0","0","0","0","0","0","0","74.1131","11.25","1284.75","118.181","26","21","71.3752","114.2","123.445","72.1899","102.596","59.9975","2","0","0","1","1","0","0","0","0","0","4","4","2","1","4","4","2","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"L4798","Node<K, V> find(K key, boolean create)","com.google.gson.internal.LinkedTreeMap.find(Ljava/lang/Object;Z)Lcom/google/gson/internal/LinkedTreeMap$Node;","L2686","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java","121","3","181","4","0.486607","1","9","1","0.606557","0.531915","37","25","406.303","51.2206","78321.2","1830.57","244","77","4351.18","1529.1","67.509","39.4789","57.5362","33.6469","13","3","3","2","2","0.241935","15","6","0.241935","15","47","61","30","2","47","61","30","0","0","10","0","3","0","7","3","1","0","0","2","0","0","0","0","0","0","0"
"L4789","Node<K, V> findByObject(Object key)","com.google.gson.internal.LinkedTreeMap.findByObject(Ljava/lang/Object;)Lcom/google/gson/internal/LinkedTreeMap$Node;","L2686","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java","183","3","190","4","0","0","0","0","0","0","0","0","88","10","1329.64","120.918","29","24","73.8688","132.964","111.195","65.0261","85.0246","49.722","3","1","1","4","1","0","0","0","0","0","8","8","3","1","8","8","3","0","0","2","0","1","0","0","1","0","0","0","2","0","0","0","0","0","0","0"
"L4826","Node<K, V> findByEntry(Entry<?, ?> entry)","com.google.gson.internal.LinkedTreeMap.findByEntry(Ljava/util/Map$Entry;)Lcom/google/gson/internal/LinkedTreeMap$Node;","L2686","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java","201","3","205","4","0","0","0","0","0","0","0","0","100.362","17.6429","3814.74","244.143","46","26","211.93","216.22","116.28","68.0002","139.685","81.6872","3","0","0","2","2","0.642857","9","9","0.642857","9","5","5","3","1","5","5","3","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
